   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
     361  2.67124372E+00  7.13556252E+00  5.09168073E+01  6.66663034E-01  2.81511812E+04  1.02311988E+13 -3.84104964E+00 -3.77460467E+00  0.00000000E+00
     371  2.67121264E+00  7.13539544E+00  5.09143940E+01  6.66663224E-01  2.66809111E+04  9.68875191E+12 -3.84105045E+00 -3.77460503E+00  0.00000000E+00
     381  2.67118246E+00  7.13523327E+00  5.09120530E+01  6.66663399E-01  2.53246104E+04  9.18830609E+12 -3.84105120E+00 -3.77460536E+00  0.00000000E+00
     391  2.67115337E+00  7.13507701E+00  5.09097984E+01  6.66663560E-01  2.40704112E+04  8.72563557E+12 -3.84105190E+00 -3.77460566E+00  0.00000000E+00
     401  2.67112568E+00  7.13492826E+00  5.09076528E+01  6.66663710E-01  2.29077198E+04  8.29703617E+12 -3.84105254E+00 -3.77460594E+00  0.00000000E+00
     411  2.67109959E+00  7.13478813E+00  5.09056318E+01  6.66663849E-01  2.18273592E+04  7.89924278E+12 -3.84105314E+00 -3.77460620E+00  0.00000000E+00
     421  2.67107502E+00  7.13465619E+00  5.09037293E+01  6.66663979E-01  2.08216587E+04  7.52937298E+12 -3.84105370E+00 -3.77460644E+00  0.00000000E+00
     431  2.67105215E+00  7.13453334E+00  5.09019579E+01  6.66664100E-01  1.98834923E+04  7.18487499E+12 -3.84105421E+00 -3.77460667E+00  0.00000000E+00
     441  2.67103078E+00  7.13441858E+00  5.09003031E+01  6.66664213E-01  1.90070295E+04  6.86348092E+12 -3.84105470E+00 -3.77460688E+00  0.00000000E+00
     451  2.67101091E+00  7.13431190E+00  5.08987647E+01  6.66664319E-01  1.81868368E+04  6.56317167E+12 -3.84105515E+00 -3.77460708E+00  0.00000000E+00
     461  2.67099257E+00  7.13421339E+00  5.08973441E+01  6.66664418E-01  1.74180567E+04  6.28214308E+12 -3.84105557E+00 -3.77460726E+00  0.00000000E+00
     471  2.67097568E+00  7.13412267E+00  5.08960353E+01  6.66664511E-01  1.66964582E+04  6.01877897E+12 -3.84105597E+00 -3.77460744E+00  0.00000000E+00
     481  2.67096011E+00  7.13403901E+00  5.08948283E+01  6.66664599E-01  1.60183084E+04  5.77162977E+12 -3.84105634E+00 -3.77460760E+00  0.00000000E+00
     491  2.67094562E+00  7.13396116E+00  5.08937051E+01  6.66664681E-01  1.53803487E+04  5.53939253E+12 -3.84105669E+00 -3.77460775E+00  0.00000000E+00
     501  2.67093210E+00  7.13388852E+00  5.08926568E+01  6.66664758E-01  1.47795105E+04  5.32089095E+12 -3.84105701E+00 -3.77460789E+00  0.00000000E+00
     511  2.67091939E+00  7.13382023E+00  5.08916713E+01  6.66664832E-01  1.42130615E+04  5.11506353E+12 -3.84105732E+00 -3.77460803E+00  0.00000000E+00
     521  2.67090745E+00  7.13375608E+00  5.08907455E+01  6.66664901E-01  1.36784162E+04  4.92094827E+12 -3.84105761E+00 -3.77460815E+00  0.00000000E+00
     531  2.67089622E+00  7.13369574E+00  5.08898746E+01  6.66664966E-01  1.31732515E+04  4.73767367E+12 -3.84105789E+00 -3.77460827E+00  0.00000000E+00
     541  2.67088558E+00  7.13363860E+00  5.08890499E+01  6.66665027E-01  1.26954965E+04  4.56444830E+12 -3.84105815E+00 -3.77460839E+00  0.00000000E+00
     551  2.67087549E+00  7.13358436E+00  5.08882671E+01  6.66665086E-01  1.22432191E+04  4.40055035E+12 -3.84105839E+00 -3.77460849E+00  0.00000000E+00
     561  2.67086592E+00  7.13353293E+00  5.08875250E+01  6.66665141E-01  1.18146269E+04  4.24532217E+12 -3.84105863E+00 -3.77460860E+00  0.00000000E+00
     571  2.67085686E+00  7.13348429E+00  5.08868229E+01  6.66665194E-01  1.14080774E+04  4.09816218E+12 -3.84105885E+00 -3.77460869E+00  0.00000000E+00
     581  2.67084824E+00  7.13343798E+00  5.08861546E+01  6.66665243E-01  1.10221224E+04  3.95852127E+12 -3.84105906E+00 -3.77460878E+00  0.00000000E+00
     591  2.67084005E+00  7.13339394E+00  5.08855191E+01  6.66665291E-01  1.06553852E+04  3.82589703E+12 -3.84105926E+00 -3.77460887E+00  0.00000000E+00
