   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
    6300  2.66492729E-05 -2.50630389E-05  2.67504396E+00  2.67504396E+00  0.00000000E+00
    6400  2.31566617E-05 -2.46500089E-05  2.67460256E+00  2.67460256E+00  0.00000000E+00
    6500  1.78159386E-05 -2.42134316E-05  2.67417578E+00  2.67417578E+00  0.00000000E+00
    6600  1.74148309E-05 -1.33746069E-05  2.67376279E+00  2.67376279E+00  0.00000000E+00
    6700  1.23479475E-05 -1.24272224E-05  2.67336421E+00  2.67336421E+00  0.00000000E+00
    6800  2.94119496E-06 -1.44152224E-06  2.67298254E+00  2.67298254E+00  0.00000000E+00
    6900 -2.36238953E-06 -3.79330517E-07  2.67261772E+00  2.67261772E+00  0.00000000E+00
    7000 -1.07285920E-05 -6.38802571E-06  2.67227114E+00  2.67227114E+00  0.00000000E+00
    7100 -1.18154268E-05 -9.87726487E-06  2.67193888E+00  2.67193888E+00  0.00000000E+00
    7200 -9.49986900E-06 -8.49163275E-06  2.67162517E+00  2.67162517E+00  0.00000000E+00
    7300 -5.50498221E-06 -5.51137743E-06  2.67133004E+00  2.67133004E+00  0.00000000E+00
    7400 -1.36992405E-05 -1.09788867E-05  2.67105246E+00  2.67105246E+00  0.00000000E+00
    7500 -1.51334601E-05 -5.34717551E-06  2.67079189E+00  2.67079189E+00  0.00000000E+00
    7600 -1.49726453E-05  1.76623942E-08  2.67054909E+00  2.67054909E+00  0.00000000E+00
    7700 -1.32435706E-05  1.55106237E-06  2.67032427E+00  2.67032427E+00  0.00000000E+00
    7800 -1.92522498E-05  6.47150629E-06  2.67011562E+00  2.67011562E+00  0.00000000E+00
    7900 -2.08302566E-05  4.48502751E-06  2.66992276E+00  2.66992276E+00  0.00000000E+00
    8000 -2.71003958E-05  6.04797360E-06  2.66974669E+00  2.66974669E+00  0.00000000E+00
    8100 -2.92601549E-05  2.13945176E-06  2.66958578E+00  2.66958578E+00  0.00000000E+00
    8200 -3.44684483E-05  1.07439119E-06  2.66944052E+00  2.66944052E+00  0.00000000E+00
