   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
   27200 -5.23766164E-05 -3.43379953E-05  2.67060446E+00  2.67060446E+00  0.00000000E+00
   27300 -4.97189588E-05 -3.36665770E-05  2.67060491E+00  2.67060491E+00  0.00000000E+00
   27400 -4.66597682E-05 -3.00477498E-05  2.67060477E+00  2.67060477E+00  0.00000000E+00
   27500 -5.19650934E-05 -3.30837906E-05  2.67060431E+00  2.67060431E+00  0.00000000E+00
   27600 -5.72120384E-05 -3.28765453E-05  2.67060401E+00  2.67060401E+00  0.00000000E+00
   27700 -5.44252963E-05 -2.86299765E-05  2.67060360E+00  2.67060360E+00  0.00000000E+00
   27800 -5.44447600E-05 -2.45572592E-05  2.67060426E+00  2.67060426E+00  0.00000000E+00
   27900 -4.84867917E-05 -2.78114822E-05  2.67060484E+00  2.67060484E+00  0.00000000E+00
   28000 -4.60299783E-05 -3.02813504E-05  2.67060468E+00  2.67060468E+00  0.00000000E+00
   28100 -4.89413696E-05 -2.48668161E-05  2.67060480E+00  2.67060480E+00  0.00000000E+00
   28200 -5.38950444E-05 -2.54173690E-05  2.67060514E+00  2.67060514E+00  0.00000000E+00
   28300 -4.96134253E-05 -2.59846781E-05  2.67060441E+00  2.67060441E+00  0.00000000E+00
   28400 -5.12074221E-05 -2.24227276E-05  2.67060506E+00  2.67060506E+00  0.00000000E+00
   28500 -4.92275302E-05 -3.10706231E-05  2.67060583E+00  2.67060583E+00  0.00000000E+00
   28600 -5.10891337E-05 -3.12943049E-05  2.67060451E+00  2.67060451E+00  0.00000000E+00
   28700 -5.52802657E-05 -3.13495238E-05  2.67060370E+00  2.67060370E+00  0.00000000E+00
   28800 -5.10734838E-05 -3.28642415E-05  2.67060443E+00  2.67060443E+00  0.00000000E+00
   28900 -5.24937854E-05 -3.84774733E-05  2.67060391E+00  2.67060391E+00  0.00000000E+00
   29000 -4.93193205E-05 -3.08990859E-05  2.67060394E+00  2.67060394E+00  0.00000000E+00
   29100 -4.65410631E-05 -1.97000885E-05  2.67060462E+00  2.67060462E+00  0.00000000E+00
   29200 -4.51979315E-05 -2.11585223E-05  2.67060334E+00  2.67060334E+00  0.00000000E+00
   29300 -4.28869679E-05 -2.51775624E-05  2.67060337E+00  2.67060337E+00  0.00000000E+00
   29400 -4.29726787E-05 -2.60081567E-05  2.67060365E+00  2.67060365E+00  0.00000000E+00
   29500 -4.57891640E-05 -2.59964918E-05  2.67060372E+00  2.67060372E+00  0.00000000E+00
   29600 -3.89589496E-05 -2.75868053E-05  2.67060443E+00  2.67060443E+00  0.00000000E+00
   29700 -3.88706717E-05 -3.08084821E-05  2.67060384E+00  2.67060384E+00  0.00000000E+00
   29800 -4.17982487E-05 -2.15851841E-05  2.67060370E+00  2.67060370E+00  0.00000000E+00
   29900 -4.42727455E-05 -2.72602465E-05  2.67060457E+00  2.67060457E+00  0.00000000E+00
   30000 -3.71144302E-05 -2.05400717E-05  2.67060499E+00  2.67060499E+00  0.00000000E+00
